#Data tag : 22v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
355444:7966,07/11/22 19:59:14,159,154,0.001360038,0.001258262
355445:7966,07/11/22 21:00:53,249,249,0.001640737,0.001587328
355454:7967,07/12/22 01:33:38,105,92,0.000702437,0.000595171
355455:7967,07/12/22 02:14:05,53,39,0.000348173,0.000251358
355456:7967,07/12/22 02:34:24,515,502,0.003171687,0.003124727
355457:7967,07/12/22 05:54:11,236,229,0,0
355458:7967,07/12/22 07:25:43,5,3,0,0
355459:7967,07/12/22 07:27:33,9,4,0,0
355460:7967,07/12/22 07:31:02,12,6,0,0
355461:7967,07/12/22 07:35:40,17,7,0,0
355462:7967,07/12/22 07:41:55,19,6,0,0
355463:7967,07/12/22 07:49:14,88,88,0,0
355558:7969,07/13/22 00:38:06,341,335,0.014908270,0.013826794
355559:7969,07/13/22 02:50:34,255,168,0.010340576,0.006948105
355679:7978,07/14/22 16:56:48,72,64,0.001451382,0.001167494
355680:7978,07/14/22 17:24:25,1660,1660,0.050110899,0.048183512
355768:8007,07/18/22 03:13:25,91,85,0.002851112,0.002457796
355769:8007,07/18/22 03:48:39,549,549,0.016837762,0.015922186
355862:8016,07/19/22 18:08:10,30,23,0.001837369,0.001206390
355863:8016,07/19/22 18:19:43,23,14,0.001383429,0.000740779
355865:8016,07/19/22 18:28:32,321,321,0.016307387,0.015647719
355870:8017,07/19/22 22:59:37,47,45,0.002423215,0.002081502
355871:8017,07/19/22 23:17:54,18,14,0.000987643,0.000494473
355872:8017,07/19/22 23:24:45,1228,1228,0.079538035,0.070563262
355892:8018,07/20/22 10:23:52,189,189,0.011511302,0.011014765
355912:8019,07/20/22 14:17:20,167,162,0.010628796,0.009260398
355913:8019,07/20/22 15:22:09,106,106,0.006347388,0.005865777
355921:8020,07/20/22 18:48:52,412,409,0.024906715,0.023068453
355933:8022,07/21/22 01:54:49,405,405,0.002375904,0.001610359
355942:8023,07/21/22 06:45:12,197,197,0.001640130,0.001536603
355988:8027,07/21/22 23:02:22,56,51,0.004456967,0.003203852
355989:8027,07/21/22 23:23:47,33,24,0.003201745,0.001275222
355990:8027,07/21/22 23:36:35,36,26,0.003754516,0.001681171
355991:8027,07/21/22 23:50:31,57,53,0.004851180,0.004205913
355992:8027,07/22/22 00:12:39,21,17,0.002120577,0.001565863
355993:8027,07/22/22 00:20:32,86,80,0.008490253,0.006943742
355994:8027,07/22/22 00:53:55,31,24,0.002901949,0.001779880
355995:8027,07/22/22 01:05:57,12,4,0.001107536,0.000015804
355996:8027,07/22/22 01:10:17,27,23,0.002507895,0.001729600
355997:8027,07/22/22 01:20:41,39,26,0.003548923,0.002143658
355998:8027,07/22/22 01:35:51,40,35,0.003525211,0.002662985
355999:8027,07/22/22 01:51:17,17,9,0.001463838,0.000649528
356001:8027,07/22/22 01:57:33,33,23,0.002851995,0.001826907
356002:8027,07/22/22 02:10:02,11,5,0.000921926,0.000354917
356003:8027,07/22/22 02:14:17,283,273,0.022318477,0.021022468
356004:8027,07/22/22 04:04:14,28,20,0.002094384,0.001394734
356005:8027,07/22/22 04:14:46,194,194,0.013080432,0.012586349
356041:8030,07/22/22 17:52:29,4,0,0.000415630,0
356042:8030,07/22/22 17:54:03,16,10,0.001131336,0.000000844
356043:8030,07/22/22 18:00:07,91,65,0.009866131,0.005618650
356046:8030,07/22/22 18:35:17,87,79,0.010834960,0.009497806
356047:8030,07/22/22 19:08:53,18,10,0.002235642,0.001049937
356048:8030,07/22/22 19:15:47,16,16,0.000473994,0.000350652
356071:8033,07/23/22 12:41:42,383,366,0.045052491,0.039265143
356073:8033,07/23/22 15:10:12,28,20,0.003364836,0.002136715
356074:8033,07/23/22 15:21:04,93,81,0.011315006,0.009374271
356075:8033,07/23/22 15:57:05,155,146,0.018959228,0.014084246
356076:8033,07/23/22 16:56:57,159,152,0.019626458,0.017251373
356077:8033,07/23/22 17:58:32,479,479,0.052877018,0.050655009
356135:8043,07/25/22 11:05:49,45,45,0.003865058,0.003417933
356155:8046,07/25/22 17:44:11,2,0,0.000240862,0
356158:8046,07/25/22 17:44:57,46,5,0.005387242,0.000000018
356161:8046,07/25/22 18:02:42,8,4,0.000914370,0.000000009
356162:8046,07/25/22 18:05:36,37,17,0.004164026,0.001863204
356163:8046,07/25/22 18:19:46,28,20,0.003255389,0.002154851
356164:8046,07/25/22 18:30:38,79,73,0.012509977,0.011471190
356165:8046,07/25/22 19:01:11,85,70,0.013272248,0.010919905
356170:8046,07/25/22 19:34:01,26,3,0.003926212,0.000298320
356174:8046,07/25/22 19:44:07,7,3,0.001048513,0.000270735
356175:8046,07/25/22 19:46:32,16,1,0.001019793,0.000015374
356177:8046,07/25/22 19:52:27,7,7,0,0
356309:8057,07/27/22 17:55:16,131,131,0.012071880,0.011183496
356316:8058,07/27/22 21:39:15,187,187,0.011619621,0.011348182
356321:8059,07/28/22 00:59:10,93,87,0.010877137,0.009228992
356322:8059,07/28/22 01:35:06,26,19,0.003130567,0.002076676
356323:8059,07/28/22 01:45:01,656,656,0.076372226,0.072594427
356371:8062,07/28/22 16:45:47,36,36,0.004028845,0.002991856
356375:8063,07/28/22 19:03:54,161,149,0.022157281,0.016155218
356377:8063,07/28/22 20:06:09,4,2,0.000618699,0.000024984
356378:8063,07/28/22 20:07:42,317,304,0.046801636,0.042829525
356381:8063,07/28/22 22:10:47,1220,1193,0.136466954,0.132043190
356383:8063,07/29/22 06:04:41,46,36,0.004045944,0.003043515
356384:8063,07/29/22 06:22:20,11,3,0.000967924,0.000010293
356385:8063,07/29/22 06:26:25,38,31,0.003317663,0.002501582
356386:8063,07/29/22 06:41:02,135,135,0.009363229,0.009208332
356426:8067,07/29/22 13:49:44,35,30,0.005098013,0.002866751
356427:8067,07/29/22 14:03:18,22,14,0.003546742,0.001836077
356428:8067,07/29/22 14:11:32,471,462,0.076865499,0.072339135
356431:8067,07/29/22 17:14:17,7,2,0.001189727,0.000062971
356432:8067,07/29/22 17:16:47,10,2,0.001718050,0.000040491
356433:8067,07/29/22 17:20:28,316,310,0.050888991,0.048184383
356434:8067,07/29/22 19:22:54,21,13,0.003163884,0.001726809
356435:8067,07/29/22 19:31:01,14,8,0.002095151,0.000894810
356436:8067,07/29/22 19:36:07,18,18,0.001753384,0.001712246
356446:8068,07/29/22 22:05:07,620,620,0.096615025,0.093513605
356466:8072,07/30/22 09:56:01,258,252,0.038907146,0.036215106
356467:8072,07/30/22 11:36:15,274,266,0.043313928,0.036096232
356468:8072,07/30/22 13:22:32,7,3,0.001108864,0.000070282
356469:8072,07/30/22 13:25:06,122,109,0.019159694,0.014175745
356470:8072,07/30/22 14:12:23,20,3,0.003182271,0.000000060
356471:8072,07/30/22 14:20:00,25,7,0.003939485,0.000905071
356472:8072,07/30/22 14:29:33,76,68,0.010390072,0.009344932
356473:8072,07/30/22 14:58:57,160,143,0.024308206,0.020855769
356474:8072,07/30/22 16:00:58,28,21,0.004118339,0.002804332
356475:8072,07/30/22 16:11:35,6,3,0.000884218,0.000006235
356476:8072,07/30/22 16:13:40,41,28,0.005948545,0.003668609
356478:8072,07/30/22 16:29:15,679,671,0.085655231,0.082754064
356479:8072,07/30/22 20:52:47,9,3,0.000990794,0.000000003
356480:8072,07/30/22 20:55:56,16,8,0.001761670,0.000000003
356481:8072,07/30/22 21:02:07,221,221,0.021688815,0.021448220
356488:8073,07/31/22 00:47:34,240,233,0.036363281,0.033768768
356489:8073,07/31/22 02:20:33,489,489,0.074118029,0.071075375
356523:8076,07/31/22 18:50:55,910,903,0.173131449,0.168340838
356524:8076,08/01/22 00:44:06,23,16,0.004190792,0.000107082
356525:8076,08/01/22 00:52:59,18,14,0.003254918,0.000170215
356526:8076,08/01/22 00:59:51,27,15,0.004844060,0.000189913
356527:8076,08/01/22 01:10:20,18,11,0.003199825,0.000071777
356528:8076,08/01/22 01:17:20,21,13,0.003701299,0.000146169
356529:8076,08/01/22 01:25:29,86,22,0.014783133,0.000144212
356530:8076,08/01/22 01:58:33,31,11,0.005211964,0.001476365
356531:8076,08/01/22 02:10:15,66,66,0.009168606,0.009020962
356563:8078,08/01/22 14:48:31,312,312,0.056314989,0.055154509
356568:8079,08/01/22 18:52:00,34,25,0.004784646,0.003404341
356569:8079,08/01/22 19:05:00,264,250,0.049952457,0.045612139
356570:8079,08/01/22 20:47:20,109,109,0.019646384,0.019221666
356576:8081,08/02/22 05:10:44,191,184,0.028838751,0.026289900
356577:8081,08/02/22 06:24:41,39,31,0.007603375,0.005724606
356578:8081,08/02/22 06:39:29,880,865,0.160656671,0.155378331
356580:8081,08/02/22 12:21:24,57,50,0.008996781,0.007771856
356581:8081,08/02/22 12:43:21,104,93,0.016074648,0.008961228
356582:8081,08/02/22 13:23:37,104,104,0.015371900,0.015206052
356613:8083,08/02/22 18:10:28,41,36,0.004419421,0.003206355
356614:8083,08/02/22 18:26:15,70,62,0.013064843,0.008971627
356615:8083,08/02/22 18:53:13,1306,1297,0.238173661,0.232224530
356616:8083,08/03/22 03:20:23,12,8,0.001782320,0.000000002
356617:8083,08/03/22 03:24:55,8,2,0.001191767,0.000000002
356618:8083,08/03/22 03:27:47,9,2,0.001315009,0.000000002
356619:8083,08/03/22 03:31:02,201,201,0.024350212,0.024082784
356709:8087,08/03/22 22:03:47,128,128,0.025333585,0.017018014
356719:8088,08/04/22 01:05:17,896,891,0.212393070,0.205318921
356720:8088,08/04/22 06:53:24,107,99,0.025470054,0.022798391
356721:8088,08/04/22 07:34:55,39,33,0.009037632,0.006750284
356722:8088,08/04/22 07:49:52,586,586,0.116342623,0.114098477
356788:8091,08/04/22 19:35:16,138,130,0.037162312,0.032904011
356789:8091,08/04/22 20:28:38,118,118,0.031498431,0.030528772
356810:8094,08/05/22 02:19:24,139,133,0.031917759,0.028855567
356811:8094,08/05/22 03:13:06,59,52,0.017922302,0.014911874
356812:8094,08/05/22 03:35:55,121,115,0.035105971,0.032049714
356813:8094,08/05/22 04:22:46,68,62,0.018957972,0.016451524
356814:8094,08/05/22 04:48:52,680,672,0.162195172,0.157462624
356815:8094,08/05/22 09:13:01,222,219,0.044151642,0.042823221
356824:8094,08/05/22 10:39:04,72,66,0.011567492,0.009507945
356825:8094,08/05/22 11:06:54,8,8,0.000650808,0.000540268
356902:8098,08/06/22 01:12:57,38,30,0.009459741,0.000517932
356906:8098,08/06/22 01:27:24,7,3,0.001872825,0.000442656
356908:8098,08/06/22 01:30:07,33,33,0.007690954,0.007176433
356919:8099,08/06/22 03:55:58,101,101,0.022570557,0.021570355
356937:8100,08/06/22 14:01:53,125,125,0.030004629,0.028651021
356943:8102,08/06/22 17:25:42,206,199,0.062736275,0.056422162
356944:8102,08/06/22 18:45:27,38,23,0.012876982,0.005254506
356945:8102,08/06/22 19:00:13,136,128,0.040309568,0.036230367
356946:8102,08/06/22 19:52:44,138,129,0.041543286,0.034706570
356947:8102,08/06/22 20:46:12,355,350,0.096517475,0.091041047
356948:8102,08/06/22 23:03:58,94,88,0.023094887,0.020025447
356949:8102,08/06/22 23:40:25,116,110,0.027235629,0.024807519
356950:8102,08/07/22 00:25:07,12,7,0.002781960,0.000001918
356951:8102,08/07/22 00:29:25,289,284,0.063299824,0.060674933
356952:8102,08/07/22 02:21:23,9,4,0.001864124,0.000000003
356953:8102,08/07/22 02:24:46,11,6,0.002270853,0.000000002
356954:8102,08/07/22 02:28:59,368,365,0.071116697,0.068122152
356955:8102,08/07/22 04:51:58,383,380,0.065138727,0.063411598
356956:8102,08/07/22 07:20:44,119,119,0.016210070,0.015926148
356968:8103,08/07/22 10:59:20,194,187,0.055442415,0.051281721
356969:8103,08/07/22 12:14:36,243,236,0.072133016,0.066613964
356970:8103,08/07/22 13:48:42,381,371,0.097808237,0.095313161
356977:8103,08/07/22 16:16:23,29,29,0,0
356997:8106,08/08/22 05:45:05,132,125,0.038867279,0.034218962
356998:8106,08/08/22 06:36:19,21,16,0.006945573,0.004607039
356999:8106,08/08/22 06:44:07,62,58,0.020089610,0.016868413
357000:8106,08/08/22 07:08:08,55,50,0.013548208,0.010967963
357001:8106,08/08/22 07:29:31,212,200,0.052838099,0.051113301
357005:8106,08/08/22 08:51:33,50,4,0,0
357059:8108,08/08/22 16:49:29,5,5,0.000078171,0.000071618
357070:8111,08/09/22 00:58:16,16,16,0.001277371,0.001106554
357076:8112,08/09/22 02:54:58,13,8,0.002598769,0.000918066
357077:8112,08/09/22 02:59:44,96,91,0.031080843,0.027456462
357078:8112,08/09/22 03:36:49,169,163,0.063876386,0.057983749
357079:8112,08/09/22 04:42:08,28,22,0.009859627,0.007455815
357080:8112,08/09/22 04:52:58,669,662,0.214084198,0.204754473
357081:8112,08/09/22 09:12:46,766,766,0.180730354,0.177045368
357096:8113,08/09/22 16:54:25,18,12,0.004790530,0.002182104
357098:8113,08/09/22 17:01:25,79,71,0.021951486,0.017938460
357100:8113,08/09/22 17:32:07,48,44,0.018114821,0.015192128
357101:8113,08/09/22 17:50:32,151,130,0.051744757,0.041642670
357102:8113,08/09/22 18:48:55,142,138,0.049497239,0.043081107
357103:8113,08/09/22 19:44:00,41,35,0.013629543,0.010699178
357104:8113,08/09/22 19:59:35,13,5,0.004267748,0.001404737
357105:8113,08/09/22 20:04:24,56,50,0.018015141,0.014944254
357106:8113,08/09/22 20:26:05,66,60,0.020745623,0.017093790
357110:8113,08/09/22 20:51:38,35,28,0.010749313,0.007608517
357112:8113,08/09/22 21:05:03,534,534,0.140989649,0.134621888
357268:8115,08/10/22 19:33:13,86,76,0.027652761,0.021384988
357269:8115,08/10/22 20:06:16,7,2,0.002680109,0.000091960
357270:8115,08/10/22 20:09:00,5,2,0.001902932,0.000070922
357271:8115,08/10/22 20:10:57,1584,1584,0.449243660,0.418471366
357328:8118,08/11/22 19:45:10,73,64,0.022424696,0.016701445
357329:8118,08/11/22 20:13:21,673,669,0.233152557,0.216960152
357330:8118,08/12/22 00:34:27,165,157,0.048467435,0.042346488
357331:8118,08/12/22 01:38:29,31,24,0.008692611,0.005546199
357332:8118,08/12/22 01:50:29,440,430,0.112325606,0.097576600
357333:8118,08/12/22 04:41:18,217,217,0.045833308,0.043709135
357401:8120,08/12/22 18:56:39,626,626,0.171820619,0.167123183
357406:8121,08/13/22 02:46:57,154,154,0.035337627,0.033447855
357438:8124,08/13/22 14:36:38,227,198,0.077807165,0.061878730
357440:8124,08/13/22 16:04:46,362,354,0.122882841,0.113369669
357441:8124,08/13/22 18:25:23,97,84,0.029525821,0.024726268
357442:8124,08/13/22 19:03:01,1386,1386,0.318642794,0.310129159
357447:8125,08/14/22 06:44:57,25,25,0.003004014,0.002644823
357472:8128,08/14/22 18:41:14,32,32,0.007950401,0.007475257
357478:8128,08/15/22 03:48:55,15,10,0.004308000,0.001884904
357479:8128,08/15/22 03:54:43,1065,1046,0.348348465,0.326429059
357482:8128,08/15/22 10:48:28,237,237,0.054893769,0.049880837
357538:8132,08/15/22 20:36:32,33,28,0.008641451,0.005863608
357539:8132,08/15/22 20:49:05,16,8,0.004204210,0.000359987
357540:8132,08/15/22 20:54:59,6,2,0.001700432,0.000074952
357542:8132,08/15/22 20:57:04,260,252,0.095076271,0.083499863
357550:8132,08/15/22 22:37:57,37,37,0.012815003,0.011697342
357610:8136,08/17/22 05:34:00,197,192,0.049568721,0.045176520
357611:8136,08/17/22 06:50:12,419,412,0.117007624,0.109764774
357612:8136,08/17/22 09:32:56,746,736,0.162930530,0.154538329
357613:8136,08/17/22 14:22:26,270,265,0.046389040,0.045252046
